id,figür,ana_kategori,evren,oyun_grubu,ölçek,boy,etsy,görsel_sayısı,açıklama_var,klasör
GAM-0014,Griffith,Oyun,Berserk,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Berserk\Griffith
GAM-0015,Guts,Oyun,Berserk,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Berserk\Guts
GAM-0016,Guts Berserk,Oyun,Berserk,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Berserk\Guts Berserk
GAM-0017,Zodd,Oyun,Berserk,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Berserk\Zodd
GAM-0018,Wukong,Oyun,Black Myth Wukong,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Black Myth Wukong\Wukong
GAM-0019,Wukong 2,Oyun,Black Myth Wukong,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Black Myth Wukong\Wukong 2
GAM-0020,Wukong 3,Oyun,Black Myth Wukong,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Black Myth Wukong\Wukong 3
GAM-0021,Crash Bandicoot,Oyun,Crash Bandicoot,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Crash Bandicoot\Crash Bandicoot
GAM-0022,Dr. Neo Cortex,Oyun,Crash Bandicoot,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Crash Bandicoot\Dr. Neo Cortex
GAM-0023,Crossbreed Priscilla,Oyun,Dark Souls,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dark Souls\Crossbreed Priscilla
GAM-0024,DARK SOULS,Oyun,Dark Souls,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dark Souls\DARK SOULS
GAM-0025,Aldrich,Oyun,Dark Souls 3,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dark Souls 3\Aldrich
GAM-0026,Sam,Oyun,Death Stranding 2,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Death Stranding 2\Sam
GAM-0027,Shinobu Kocho,Oyun,Demon Slayer,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Demon Slayer\Shinobu Kocho
GAM-0028,Tanjiro,Oyun,Demon Slayer,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Demon Slayer\Tanjiro
GAM-0029,Trish,Oyun,Devil May Cry,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry\Trish
GAM-0030,Dante,Oyun,Devil May Cry 3,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry 3\Dante
GAM-0031,Dante2,Oyun,Devil May Cry 3,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry 3\Dante2
GAM-0032,Lady,Oyun,Devil May Cry 3,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry 3\Lady
GAM-0033,Dante,Oyun,Devil May Cry 5,Diğer Oyunlar,,,,1,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry 5\Dante
GAM-0034,Virgil,Oyun,Devil May Cry 5,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Devil May Cry 5\Virgil
GAM-0035,Dante,Oyun,devilmaycry,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\devilmaycry\Dante
GAM-0036,Lilith,Oyun,Diablo IV,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Diablo IV\Lilith
GAM-0037,Lilith 2,Oyun,Diablo IV,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Diablo IV\Lilith 2
GAM-0038,CRYSTAL MAIDEN,Oyun,Dota 2,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\CRYSTAL MAIDEN
GAM-0039,JUGGERNAUT ANCIENT EXILE,Oyun,Dota 2,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\JUGGERNAUT ANCIENT EXILE
GAM-0040,Lion,Oyun,Dota 2,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\Lion
GAM-0041,Night Stalker,Oyun,Dota 2,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\Night Stalker
GAM-0042,Phantom Assassin - Arcana set,Oyun,Dota 2,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\Phantom Assassin - Arcana set
GAM-0043,Pudge,Oyun,Dota 2,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Dota 2\Pudge
GAM-0044,Blaidd 2,Oyun,Elden Ring,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Blaidd 2
GAM-0045,Blaidd the Half-Wolf,Oyun,Elden Ring,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Blaidd the Half-Wolf
GAM-0046,Godfrey,Oyun,Elden Ring,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Godfrey
GAM-0047,Malenia,Oyun,Elden Ring,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Malenia
GAM-0048,Malenia 3,Oyun,Elden Ring,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Malenia 3
GAM-0049,Malenia2,Oyun,Elden Ring,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Malenia2
GAM-0050,Maliketh,Oyun,Elden Ring,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Maliketh
GAM-0051,Melina,Oyun,Elden Ring,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Melina
GAM-0052,Needle Knight Leda,Oyun,Elden Ring,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Needle Knight Leda
GAM-0053,Ranni 2,Oyun,Elden Ring,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Ranni 2
GAM-0054,Starscourge Radahn,Oyun,Elden Ring,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Elden Ring\Starscourge Radahn
GAM-0055,Squall Leonhart,Oyun,Final Fantasy,Diğer Oyunlar,,,,3,Hayır,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy\Squall Leonhart
GAM-0056,Aerith in Red Dress,Oyun,Final Fantasy VII,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy VII\Aerith in Red Dress
GAM-0057,Tifa,Oyun,Final Fantasy VII,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy VII\Tifa
GAM-0058,Tifa Lockhart,Oyun,Final Fantasy VII,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy VII\Tifa Lockhart
GAM-0059,Fran,Oyun,Final Fantasy XII,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy XII\Fran
GAM-0060,Clive Rosfield,Oyun,Final Fantasy XVI,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Final Fantasy XVI\Clive Rosfield
GAM-0061,Frieren,Oyun,Frieren,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Frieren\Frieren
GAM-0062,Frieren2,Oyun,Frieren,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Frieren\Frieren2
GAM-0063,Himmel,Oyun,Frieren,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Frieren\Himmel
GAM-0064,Kratos,Oyun,God of War,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\Kratos
GAM-0065,KRATOS 3,Oyun,God of War,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\KRATOS 3
GAM-0066,Kratos 5,Oyun,God of War,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\Kratos 5
GAM-0067,KRATOS 6,Oyun,God of War,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\KRATOS 6
GAM-0068,Kratos2,Oyun,God of War,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\Kratos2
GAM-0069,Kratos4,Oyun,God of War,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\God of War\Kratos4
GAM-0070,CJ,Oyun,GTA,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA\CJ
GAM-0071,Cousin,Oyun,GTA IV,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\oyun\GTA IV\Cousin
GAM-0072,CJ,Oyun,GTA San andreas,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA San andreas\CJ
GAM-0073,Franklin,Oyun,GTA V,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA V\Franklin
GAM-0074,Michael,Oyun,GTA V,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA V\Michael
GAM-0075,Trevor,Oyun,GTA V,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA V\Trevor
GAM-0076,GTA VI Cover Girl,Oyun,GTA VI,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\GTA VI\GTA VI Cover Girl
GAM-0077,Master Chief,Oyun,Halo 4,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Halo 4\Master Chief
GAM-0078,Senua,Oyun,Hellblade,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Hellblade\Senua
GAM-0079,Indiana Jones,Oyun,Indiana Jones,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Indiana Jones\Indiana Jones
GAM-0080,Cody,Oyun,It Takes Two,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\It Takes Two\Cody
GAM-0081,Lara Croft,Oyun,LARA CROFT,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\LARA CROFT\Lara Croft
GAM-0082,Lara Croft - Angelina Jolie,Oyun,LARA CROFT,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\LARA CROFT\Lara Croft - Angelina Jolie
GAM-0083,LARA CROFT 2,Oyun,LARA CROFT,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\LARA CROFT\LARA CROFT 2
GAM-0084,Lara croft 3,Oyun,LARA CROFT,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\LARA CROFT\Lara croft 3
GAM-0085,Abby,Oyun,Last Of Us,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Last Of Us\Abby
GAM-0086,Ellie,Oyun,Last Of Us,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Last Of Us\Ellie
GAM-0087,ELLIE 2,Oyun,Last Of Us,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Last Of Us\ELLIE 2
GAM-0088,JOEL,Oyun,Last Of Us,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Last Of Us\JOEL
GAM-0089,Goro,Oyun,Mortal Kombat,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Mortal Kombat\Goro
GAM-0090,Kitana,Oyun,Mortal Kombat,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Mortal Kombat\Kitana
GAM-0091,Scorpion,Oyun,Mortal Kombat,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Mortal Kombat\Scorpion
GAM-0092,Scorpion 2,Oyun,Mortal Kombat,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Mortal Kombat\Scorpion 2
GAM-0093,2B,Oyun,NieR Automata,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\NieR Automata\2B
GAM-0094,2B 2,Oyun,nierautomata,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\nierautomata\2B 2
GAM-0095,A2,Oyun,nierautomata,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\nierautomata\A2
GAM-0096,Diana,Oyun,Pragmata,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Pragmata\Diana
GAM-0097,Diana and Hugh,Oyun,Pragmata,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Pragmata\Diana and Hugh
GAM-0098,Prince of Persia,Oyun,Prince of Persia,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Prince of Persia\Prince of Persia
GAM-0099,Arthur Morgan 2,Oyun,Red Dead Redemption,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Red Dead Redemption\Arthur Morgan 2
GAM-0100,Arthur Morgan,Oyun,Red Dead Redemption II,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Red Dead Redemption II\Arthur Morgan
GAM-0101,Grace Ashcroft,Oyun,Residant Evil,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Residant Evil\Grace Ashcroft
GAM-0102,Jill Valentine,Oyun,resident evil,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\resident evil\Jill Valentine
GAM-0103,Ada Wong,Oyun,residentevil,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\residentevil\Ada Wong
GAM-0104,Diorama Leon Kennedy and Grace Ashcroft,Oyun,Residual Evil,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Residual Evil\Diorama Leon Kennedy and Grace Ashcroft
GAM-0105,Leon,Oyun,Residual Evil,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Residual Evil\Leon
GAM-0106,Nemesis,Oyun,Residual Evil,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Residual Evil\Nemesis
GAM-0107,Hinako,Oyun,Silent Hill,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Silent Hill\Hinako
GAM-0108,JAMES,Oyun,Silent Hill,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Silent Hill\JAMES
GAM-0109,PYRAMID HEAD 3,Oyun,Silent Hill,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Silent Hill\PYRAMID HEAD 3
GAM-0110,Pyramid Head2,Oyun,Silent Hill,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Silent Hill\Pyramid Head2
GAM-0111,Pyramid Head,Oyun,Silent Hill 2,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Silent Hill 2\Pyramid Head
